Project,Package,Class,Method,Smell,Description,Method start line no,File
jimfs,com.google.common.jimfs,JimfsFileSystemProvider,newFileSystem,Long Statement,The length of the statement "throw new UnsupportedOperationException("This method should not be called directly;" + "use an overload of Jimfs.newFileSystem() to create a FileSystem.");" is 155.,84,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystemProvider.java
jimfs,com.google.common.jimfs,JimfsFileSystemProvider,getFileSystem,Long Statement,The length of the statement "throw new UnsupportedOperationException("This method should not be called directly; " + "use FileSystems.getFileSystem(URI) instead.");" is 135.,109,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystemProvider.java
jimfs,com.google.common.jimfs,JimfsFileSystemProvider,newByteChannel,Long Statement,The length of the statement "return checkedPath.getJimfsFileSystem().getFileStore().supportsFeature(FILE_CHANNEL) ? channel : new DowngradedSeekableByteChannel(channel);" is 140.,159,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystemProvider.java
jimfs,com.google.common.jimfs,JimfsFileSystemProvider,createLink,Long Statement,The length of the statement "checkArgument(linkPath.getFileSystem().equals(existingPath.getFileSystem())`"link and existing paths must belong to the same file system instance");" is 148.,220,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystemProvider.java
jimfs,com.google.common.jimfs,JimfsFileSystemProvider,createSymbolicLink,Long Statement,The length of the statement "checkArgument(linkPath.getFileSystem().equals(targetPath.getFileSystem())`"link and target paths must belong to the same file system instance");" is 144.,231,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystemProvider.java
jimfs,com.google.common.jimfs,RegularFile,create,Magic Number,The method contains a magic number: 32,59,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/RegularFile.java
jimfs,com.google.common.jimfs,RegularFile,RegularFile,Long Parameter List,The method has 6 parameters. ,64,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/RegularFile.java
jimfs,com.google.common.jimfs,RegularFile,copyWithoutContent,Magic Number,The method contains a magic number: 2,162,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/RegularFile.java
jimfs,com.google.common.jimfs,RegularFile,copyWithoutContent,Magic Number,The method contains a magic number: 32,162,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/RegularFile.java
jimfs,com.google.common.jimfs,RegularFile,put,Long Parameter List,The method has 5 parameters. ,645,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/RegularFile.java
