Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
commons-lang,org.apache.commons.lang3,ClassPathUtils,0,0,7,7,80,7,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassPathUtils.java,21
commons-lang,org.apache.commons.lang3,Functions,0,0,25,24,421,26,0,0,-1.0,2,10,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Functions.java,40
commons-lang,org.apache.commons.lang3,Functions.FailableBiConsumer,0,0,0,0,16,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Functions.java,78
commons-lang,org.apache.commons.lang3,Functions.FailableBiFunction,0,0,0,0,18,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Functions.java,102
commons-lang,org.apache.commons.lang3,Functions.FailableBiPredicate,0,0,0,0,17,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Functions.java,128
commons-lang,org.apache.commons.lang3,Functions.FailableCallable,0,0,0,0,14,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Functions.java,153
commons-lang,org.apache.commons.lang3,Functions.FailableConsumer,0,0,0,0,14,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Functions.java,175
commons-lang,org.apache.commons.lang3,Functions.FailableFunction,0,0,0,0,16,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Functions.java,197
commons-lang,org.apache.commons.lang3,Functions.FailablePredicate,0,0,0,0,15,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Functions.java,221
commons-lang,org.apache.commons.lang3,Functions.FailableRunnable,0,0,0,0,12,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Functions.java,244
commons-lang,org.apache.commons.lang3,Functions.FailableSupplier,0,0,0,0,14,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Functions.java,264
commons-lang,org.apache.commons.lang3,IntegerRange,1,0,5,4,53,5,0,2,1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/IntegerRange.java,22
commons-lang,org.apache.commons.lang3,BooleanUtils,7,6,47,47,674,107,0,0,0.48936170212765956,5,2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/BooleanUtils.java,26
commons-lang,org.apache.commons.lang3,JavaVersion,2,0,9,3,243,43,0,0,0.0,9,3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/JavaVersion.java,21
