Project,Package,Class,Method,Smell,Description,File
commons-io,org.apache.commons.io,FileDeleteStrategyTest,testDeleteNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileDeleteStrategyTest.java
commons-io,org.apache.commons.io,FileDeleteStrategyTest,testDeleteQuietlyNormal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileDeleteStrategyTest.java
commons-io,org.apache.commons.io,FileDeleteStrategyTest,testDeleteQuietlyNormal,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation),/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileDeleteStrategyTest.java
commons-io,org.apache.commons.io,FileDeleteStrategyTest,testToString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileDeleteStrategyTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkCompare_case,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkCompare_functionality,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkEndsWith_case,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkEndsWith_functionality,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkEquals_case,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkEquals_functionality,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
