Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
commons-io,org.apache.commons.io,IOUtils,contentEqualsIgnoreEOL,9,3,2,1336,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,copy,4,1,2,1362,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,copy,3,1,3,1386,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,copy,3,1,2,1406,0,,
commons-io,org.apache.commons.io,IOUtils,copy,3,1,3,1429,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,IOUtils,copy,3,1,3,1451,0,,
commons-io,org.apache.commons.io,IOUtils,copy,6,1,1,1478,0,org.apache.commons.io.input.QueueInputStream,org.apache.commons.io.input.QueueInputStream
commons-io,org.apache.commons.io,IOUtils,copy,3,1,2,1509,0,,
commons-io,org.apache.commons.io,IOUtils,copy,10,2,3,1533,0,,
commons-io,org.apache.commons.io,IOUtils,copy,3,1,2,1559,0,,
commons-io,org.apache.commons.io,IOUtils,copy,5,1,3,1584,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,IOUtils,copy,3,1,3,1611,0,,
commons-io,org.apache.commons.io,IOUtils,copy,7,2,2,1638,0,,
commons-io,org.apache.commons.io,IOUtils,copy,5,1,2,1666,0,,
commons-io,org.apache.commons.io,IOUtils,copy,5,1,2,1689,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,copyLarge,3,1,2,1712,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,copyLarge,11,2,3,1736,0,,
commons-io,org.apache.commons.io,IOUtils,copyLarge,5,1,4,1767,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,copyLarge,23,6,5,1796,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,copyLarge,5,1,2,1845,0,,
commons-io,org.apache.commons.io,IOUtils,copyLarge,9,2,3,1868,0,,
commons-io,org.apache.commons.io,IOUtils,copyLarge,5,1,4,1893,0,,
commons-io,org.apache.commons.io,IOUtils,copyLarge,22,6,5,1917,0,,
commons-io,org.apache.commons.io,IOUtils,copyToOutputStream,6,1,3,1957,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier; org.apache.commons.io.build.AbstractStreamBuilder; org.apache.commons.io.output.UnsynchronizedByteArrayOutputStream; org.apache.commons.io.input.BoundedInputStream
commons-io,org.apache.commons.io,IOUtils,length,3,1,1,1981,0,,
commons-io,org.apache.commons.io,IOUtils,length,3,1,1,1992,0,,
commons-io,org.apache.commons.io,IOUtils,length,3,1,1,2003,0,,
commons-io,org.apache.commons.io,IOUtils,length,3,1,1,2014,0,,
commons-io,org.apache.commons.io,IOUtils,lineIterator,3,1,2,2025,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,IOUtils,lineIterator,3,1,2,2060,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,lineIterator,3,1,1,2096,0,,
commons-io,org.apache.commons.io,IOUtils,read,3,1,2,2129,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,read,13,3,4,2148,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,read,10,3,2,2182,0,,
commons-io,org.apache.commons.io,IOUtils,read,3,1,2,2207,0,,
commons-io,org.apache.commons.io,IOUtils,read,13,3,4,2225,0,,
commons-io,org.apache.commons.io,IOUtils,readFully,3,1,2,2259,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,readFully,6,2,4,2277,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,readFully,3,1,2,2303,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,readFully,7,2,2,2324,0,,
commons-io,org.apache.commons.io,IOUtils,readFully,3,1,2,2345,0,,
commons-io,org.apache.commons.io,IOUtils,readFully,6,2,4,2363,0,,
commons-io,org.apache.commons.io,IOUtils,readLines,5,1,1,2389,0,,
commons-io,org.apache.commons.io,IOUtils,readLines,3,1,1,2403,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,readLines,3,1,2,2423,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,IOUtils,readLines,3,1,2,2442,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,readLines,3,1,1,2466,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,resourceToByteArray,3,1,1,2485,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,resourceToByteArray,3,1,2,2501,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,resourceToString,3,1,2,2518,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,resourceToString,3,1,3,2535,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,resourceToURL,3,1,1,2553,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,resourceToURL,7,2,2,2568,0,,
commons-io,org.apache.commons.io,IOUtils,skip,5,1,2,2591,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,skip,15,4,3,2618,0,,
commons-io,org.apache.commons.io,IOUtils,skip,17,4,2,2666,0,,
commons-io,org.apache.commons.io,IOUtils,skip,17,4,2,2696,0,,
commons-io,org.apache.commons.io,IOUtils,skipFully,6,2,2,2736,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,skipFully,9,3,3,2763,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,skipFully,9,3,2,2796,0,,
commons-io,org.apache.commons.io,IOUtils,skipFully,6,2,2,2816,0,,
commons-io,org.apache.commons.io,IOUtils,toBufferedInputStream,3,1,1,2843,0,org.apache.commons.io.output.ByteArrayOutputStream,org.apache.commons.io.output.ByteArrayOutputStream
commons-io,org.apache.commons.io,IOUtils,toBufferedInputStream,3,1,2,2867,0,org.apache.commons.io.output.ByteArrayOutputStream,org.apache.commons.io.output.ByteArrayOutputStream
