Project,Package,Smell,Description
jsoup,org.jsoup.helper,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RequestDispatch; RequestExecutor; HttpClientExecutor; HttpClientExecutorTest; CookieUtil; HttpConnection; HttpConnection.Request; HttpConnection.Response; DataUtil; DataUtil.CharsetDoc; Validate; ValidateTest; CookieUtilTest; DataUtilTest; DataUtilTest.VaryingReadInputStream; HttpConnectionTest; RequestAuthenticator; RequestAuthenticator.Context; AuthenticationHandler; AuthenticationHandler.AuthShim; RequestAuthHandler; AuthenticationHandlerTest; W3CDom; W3CDom.W3CBuilder; W3CDomTest; UrlConnectionExecutor; UrlBuilder]; [AuthenticationHandler.GlobalHandler]; [ValidationException; RegexTest; Re2jRegex; Regex; Regex.Matcher]; [HttpConnection.Base]; [HttpConnection.KeyVal]; [Re2jRegex.Re2jMatcher]; [Regex.JdkMatcher]; [HttpClientExecutor.ProxyWrap]. LCC (Lack of Component Cohesion) = 0.21
jsoup,org.jsoup.helper,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.select.
jsoup,org.jsoup.helper,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.parser.
jsoup,org.jsoup.helper,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.
jsoup,org.jsoup.helper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsoup.helper; org.jsoup.internal; org.jsoup.helper
jsoup,org.jsoup.helper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsoup.helper; org.jsoup.select; org.jsoup.helper
jsoup,org.jsoup.select,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 85
jsoup,org.jsoup.select,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsoup.parser
jsoup,org.jsoup.select,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Elements; NodeVisitor; NodeFilter; NodeFilter.FilterResult; Selector; Nodes; Evaluator; Evaluator.Tag; Evaluator.TagStartsWith; Evaluator.TagEndsWith; Evaluator.Id; Evaluator.Class; Evaluator.Attribute; Evaluator.AttributeStarting; Evaluator.AttributeWithValueMatching; Evaluator.AttributeKeyPair; Evaluator.AllElements; Evaluator.IsLastChild; Evaluator.CssNthEvaluator; Evaluator.IsFirstChild; Evaluator.IsRoot; Evaluator.IsOnlyChild; Evaluator.IsOnlyOfType; Evaluator.IsEmpty; Evaluator.IndexEvaluator; Evaluator.ContainsText; Evaluator.ContainsWholeText; Evaluator.ContainsWholeOwnText; Evaluator.ContainsData; Evaluator.ContainsOwnText; Evaluator.Matches; Evaluator.MatchesOwn; Evaluator.MatchesWholeText; Evaluator.MatchesWholeOwnText; Evaluator.MatchText; NodeTraversor; Collector; StructuralEvaluator; StructuralEvaluator.Root; StructuralEvaluator.Has; StructuralEvaluator.Is; StructuralEvaluator.Not; StructuralEvaluator.Ancestor; StructuralEvaluator.ImmediateParentRun; StructuralEvaluator.PreviousSibling; StructuralEvaluator.ImmediatePreviousSibling; QueryParser; CombiningEvaluator; CombiningEvaluator.And; CombiningEvaluator.Or; NodeEvaluator; NodeEvaluator.InstanceType; NodeEvaluator.ContainsValue; NodeEvaluator.BlankValue; NodeEvaluator.MatchesValue; EvaluatorDebug; EvaluatorDebug.SexprVisitor; EvaluatorTest; NodesTest; SelectorTest; SelectorTest.ResetTracker; QueryParserTest; TraversorTest; XpathTest; SelectorIT; SelectorIT.ThreadCatcher; StructuralEvaluatorTest; CssTest; ElementsTest]; [Selector.SelectorParseException]; [Evaluator.AttributeWithValue]; [Evaluator.AttributeWithValueNot]; [Evaluator.AttributeWithValueStarting]; [Evaluator.AttributeWithValueEnding]; [Evaluator.AttributeWithValueContaining]; [Evaluator.IndexLessThan]; [Evaluator.IndexGreaterThan]; [Evaluator.IndexEquals]; [Evaluator.IsFirstOfType]; [Evaluator.IsLastOfType]; [Evaluator.IsNthChild]; [Evaluator.IsNthLastChild]; [Evaluator.IsNthOfType]; [Evaluator.IsNthLastOfType]; [XpathTest.AlternateXpathFactory]. LCC (Lack of Component Cohesion) = 0.2
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.helper; org.jsoup.nodes.
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.helper; org.jsoup.parser.
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.internal; org.jsoup.parser; org.jsoup.helper.
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.parser; org.jsoup.
jsoup,org.jsoup.select,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.parser.
jsoup,org.jsoup.parser,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 47
jsoup,org.jsoup.parser,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsoup.safety; org.jsoup.integration
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.helper.
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.select; org.jsoup.
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.safety; org.jsoup.
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.select.
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.safety; org.jsoup.nodes; org.jsoup.
jsoup,org.jsoup.integration,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsoup.safety
jsoup,org.jsoup.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup; org.jsoup.select; org.jsoup.nodes.
jsoup,org.jsoup.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.
jsoup,org.jsoup.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup; org.jsoup.parser.
jsoup,org.jsoup.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.select.
jsoup,org.jsoup.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.parser; org.jsoup.
jsoup,org.jsoup.integration,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsoup.integration; org.jsoup.integration.servlets; org.jsoup.integration
jsoup,org.jsoup.integration.servlets,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsoup.integration
