Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
byte-buddy,net.bytebuddy.dynamic.loading,ClassReloadingStrategy,enableBootstrapInjection,3,1,1,280,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassReloadingStrategy,preregistered,7,2,1,290,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategy,load,0,1,2,48,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjector,isAlive,0,1,0,97,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjector,inject,0,1,2,104,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjector,injectRaw,0,1,2,113,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjector,inject,0,1,1,122,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjector,injectRaw,0,1,1,130,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoaderDecorator,isSkipped,0,1,1,30,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoaderDecorator,apply,0,1,1,38,0,,
byte-buddy,net.bytebuddy.dynamic.loading,InjectionClassLoader,doRegisterAsParallelCapable,9,1,0,46,0,,
byte-buddy,net.bytebuddy.dynamic.loading,InjectionClassLoader,InjectionClassLoader,4,1,2,65,0,,
byte-buddy,net.bytebuddy.dynamic.loading,InjectionClassLoader,isSealed,3,1,0,76,0,,
byte-buddy,net.bytebuddy.dynamic.loading,InjectionClassLoader,seal,3,1,0,85,0,,
byte-buddy,net.bytebuddy.dynamic.loading,InjectionClassLoader,defineClass,3,1,2,94,0,net.bytebuddy.dynamic.loading.InjectionClassLoader,net.bytebuddy.dynamic.loading.InjectionClassLoader
byte-buddy,net.bytebuddy.dynamic.loading,InjectionClassLoader,defineClasses,6,2,1,106,0,net.bytebuddy.dynamic.loading.InjectionClassLoader,net.bytebuddy.dynamic.loading.InjectionClassLoader
byte-buddy,net.bytebuddy.dynamic.loading,InjectionClassLoader,doDefineClasses,0,1,1,120,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassFilePostProcessor,transform,0,1,4,36,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ModuleLayerFromSingleClassLoaderDecorator,ModuleLayerFromSingleClassLoaderDecorator,6,1,4,131,0,,
