Project,Package,Smell,Description
zxing,com.google.zxing.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HTTPSFilter; AbstractFilter; WelcomeFilter]; [LRUMap; DoSTracker; DoSTrackerTestCase; LRUMapTestCase; DoSFilter; ChartDoSFilter; DecodeDoSFilter; DoSFilterTestCase; DecodeServlet; DecodeServletTestCase]; [TimeoutFilter; TimeoutFilterTestCase]; [ChartServlet; ChartServletRequestParameters; ChartServletTestCase; ChartServletRequestParametersTestCase]; [OutputUtils; OutputUtilsTestCase]; [DoSTracker.TrackerTask]; [ServletContextLogHandler; ServletContextLogHandlerTestCase]; [HTTPSFilterTestCase]; [WelcomeFilterTestCase]. LCC (Lack of Component Cohesion) = 0.35
zxing,com.google.zxing,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.zxing.common; com.google.zxing.common.detector
zxing,com.google.zxing,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing; com.google.zxing.common; com.google.zxing
zxing,com.google.zxing,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing; com.google.zxing.common.detector; com.google.zxing
zxing,com.google.zxing.common,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DetectorResult; BitMatrix; DefaultGridSampler; GlobalHistogramBinarizer; GridSampler; PerspectiveTransform; BitArray; BitArrayTestCase; BitMatrixTestCase; PerspectiveTransformTestCase; HybridBinarizer]; [ECIEncoderSet; MinimalECIInput; MinimalECIInput.InputEdge; CharacterSetECI; ECIInput; ECIStringBuilder]; [BitSource; BitSourceTestCase]; [DecoderResult]; [StringUtils; StringUtilsTestCase]; [AbstractNegativeBlackBoxTestCase; AbstractNegativeBlackBoxTestCase.TestResult; AbstractBlackBoxTestCase; TestResult]; [BitSourceBuilder]. LCC (Lack of Component Cohesion) = 0.26
zxing,com.google.zxing.oned,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 70
zxing,com.google.zxing.oned,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MultiFormatUPCEANReader; OneDReader; Code128Reader; UPCEANReader; Code128WriterTestCase; MultiFormatOneDReader; Code39Reader; Code39Writer; OneDimensionalCodeWriter; Code39ExtendedModeTestCase; Code39WriterTestCase; EAN13Writer; UPCEANWriter; UPCEWriter; UPCEReader; EAN13Reader; EAN8Writer; UPCAWriter; EAN8WriterTestCase; UPCEWriterTestCase; EAN13WriterTestCase; UPCAWriterTestCase; UPCEANExtension2Support; UPCEANExtensionSupport; UPCEANExtension5Support; Code93Reader; Code93Writer; Code93ReaderTestCase; Code93WriterTestCase; EANManufacturerOrgSupport; EANManufacturerOrgSupportTest; Code128Writer; Code128Writer.CType; Code128Writer.Charset; Code128Writer.Latch; Code128Writer.MinimalEncoder; CodaBarReader; CodaBarWriter; ITFWriter; ITFWriterTestCase; EAN8Reader; UPCAReader; ITFReader]; [UPCABlackBox5TestCase]; [UPCEBlackBox3ReflectiveTestCase]; [Code128BlackBox2TestCase]; [UPCABlackBox6BlurryTestCase]; [EAN13BlackBox3TestCase]; [ITFBlackBox1TestCase]; [Code93BlackBox1TestCase]; [CodaBarWriterTestCase]; [UPCEANExtensionBlackBox1TestCase]; [Code128BlackBox3TestCase]; [Code39ExtendedBlackBox2TestCase]; [Code39BlackBox1TestCase]; [UPCABlackBox2TestCase]; [EAN13BlackBox4TestCase]; [EAN8BlackBox1TestCase]; [EAN13BlackBox1TestCase]; [UPCABlackBox1TestCase]; [EAN13BlackBox5BlurryTestCase]; [EAN13BlackBox2TestCase]; [Code128BlackBox1TestCase]; [UPCEBlackBox2TestCase]; [CodabarBlackBox1TestCase]; [Code39BlackBox3TestCase]; [ITFBlackBox2TestCase]; [UPCABlackBox4TestCase]; [UPCEBlackBox1TestCase]; [UPCABlackBox3ReflectiveTestCase]. LCC (Lack of Component Cohesion) = 0.4
zxing,com.google.zxing.oned.rss,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractRSSReader; RSS14Reader; DataCharacter; Pair; RSSUtils; FinderPattern]; [RSS14BlackBox1TestCase]; [RSS14BlackBox2TestCase]. LCC (Lack of Component Cohesion) = 0.38
zxing,com.google.zxing.oned.rss.expanded.decoders,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.zxing.oned.rss.expanded
zxing,com.google.zxing.oned.rss.expanded,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExpandedRow; RSSExpandedReader; BitArrayBuilder; ExpandedPair; RSSExpandedImage2stringTestCase; BitArrayBuilderTest; RSSExpandedImage2binaryTestCase; RSSExpandedInternalTestCase; RSSExpandedStackedInternalTestCase; RSSExpandedImage2resultTestCase; TestCaseUtil]; [ExpandedInformationDecoderTest; BinaryUtil; BinaryUtilTest]; [RSSExpandedBlackBox3TestCase]; [RSSExpandedStackedBlackBox2TestCase]; [RSSExpandedStackedBlackBox1TestCase]; [RSSExpandedBlackBox1TestCase]; [RSSExpandedBlackBox2TestCase]. LCC (Lack of Component Cohesion) = 0.37
zxing,com.google.zxing.oned.rss.expanded,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing.oned.rss.expanded; com.google.zxing.oned.rss.expanded.decoders; com.google.zxing.oned.rss.expanded
zxing,com.google.zxing.pdf417,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.zxing.pdf417.detector; com.google.zxing.pdf417.decoder
zxing,com.google.zxing.pdf417,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PDF417Common; PDF417Reader; PDF417ResultMetadata; PDF417BlackBox4TestCase]; [PDF417Writer; PDF417WriterTestCase]; [PDF417BlackBox2TestCase]; [PDF417BlackBox1TestCase]; [PDF417BlackBox3TestCase]. LCC (Lack of Component Cohesion) = 0.56
zxing,com.google.zxing.pdf417,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing.pdf417; com.google.zxing.pdf417.decoder; com.google.zxing.pdf417
zxing,com.google.zxing.pdf417,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing.pdf417; com.google.zxing.pdf417.decoder; com.google.zxing.pdf417.decoder.ec; com.google.zxing.pdf417
zxing,com.google.zxing.client.result,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 50
