project,smell,prompt_file,context_size,is_large
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForEmulatedAttachment.txt,13964,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForExistingAgent.txt,13963,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForJ9Vm.txt,13964,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForJava9CapableVm.txt,13966,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForLegacyVm.txt,13963,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForModularizedVm.txt,13965,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForStandardToolsJarVm.txt,13965,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForUserDefinedToolsJar.txt,13965,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_InstallationAction.txt,13963,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ProcessProvider.txt,13962,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_Simple.txt,13961,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_Unavailable.txt,13962,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_WithDirectAttachment.txt,13963,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_WithExternalAttachment.txt,13963,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_Installer.txt,1431,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine.txt,21483,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_AbstractBase.txt,21485,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_AttachmentHandle.txt,21486,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_Connection.txt,21484,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_Dispatcher.txt,21485,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_DoorArgument.txt,21486,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_Factory.txt,21484,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForHotSpot.txt,21486,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForJnaPosixEnvironment.txt,21489,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForJnaPosixSocket.txt,21489,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForJnaSolarisDoor.txt,21489,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForJnaWindowsEnvironment.txt,21488,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForJnaWindowsNamedPipe.txt,21489,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForOpenJ9.txt,21487,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForSocketFile.txt,21486,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_MacLibrary.txt,21486,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_NamedPipeResponse.txt,21486,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_OnPersistentByteChannel.txt,21487,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_PosixLibrary.txt,21486,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_PosixOwnerProvider.txt,21487,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_Resolver.txt,21485,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_Response.txt,21484,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_SecurityAttributes.txt,21485,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_SemaphoreOperation.txt,21486,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_SocketAddress.txt,21485,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_SolarisLibrary.txt,21487,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_UsingIStat.txt,21487,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_UsingStat.txt,21486,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_WindowsAttachLibrary.txt,21486,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_WindowsLibrary.txt,21485,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_LambdaFactory.txt,2368,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_ResettableClassFileTransformer.txt,8799,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_ResettableClassFileTransformer_AbstractBase.txt,8801,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_ResettableClassFileTransformer_Callback.txt,8800,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_ResettableClassFileTransformer_CreationAction.txt,8803,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_ResettableClassFileTransformer_Factory.txt,8800,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_ResettableClassFileTransformer_ForJava9CapableVm.txt,8805,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_ResettableClassFileTransformer_ForLegacyVm.txt,8802,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_ResettableClassFileTransformer_Substitutable.txt,8802,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_ResettableClassFileTransformer_WithCallback.txt,8801,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_builder_ResettableClassFileTransformer_WithDelegation.txt,8802,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy.txt,7197,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_Conversion.txt,7199,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_DexProcessor.txt,7200,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_Disabled.txt,7198,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_Dispatcher.txt,7199,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_FileProcessor.txt,7199,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_ForAndroidPVm.txt,7201,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_ForApi26LevelCompatibleVm.txt,7203,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_ForLegacyVm.txt,7200,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_ForReadOnlyClassFile.txt,7202,
