project,smell,prompt_file,context_size,is_large
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_histo.txt,42372,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_hotthrow.txt,82637,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_inline.txt,38494,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_intrinsic.txt,58951,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan.txt,49490,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_allocationcount.txt,25569,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_freqinlinesize.txt,75987,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_instructioncount.txt,24761,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_invokecount.txt,49717,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_methodlength.txt,75982,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_methodsizehisto.txt,51515,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_nextinstruction.txt,26964,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_sequencecount.txt,26964,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_sequencesearch.txt,52693,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_visualiser.txt,26263,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jvmlang.txt,79399,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_logger.txt,36109,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_model_assembly.txt,96053,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_model_assembly_arm.txt,22399,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_model_assembly_x86.txt,20618,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_parser_j9.txt,91501,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_parser_zing.txt,92728,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_process.txt,19463,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_process_compiler.txt,13175,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_process_javap.txt,16869,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_process_runtime.txt,27968,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report.txt,49154,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report_comparator.txt,26109,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report_escapeanalysis.txt,49826,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report_escapeanalysis_eliminatedallocation.txt,69379,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report_inlining.txt,71264,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report_locks.txt,69365,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report_suggestion.txt,85573,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_toplist.txt,66694,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_treevisitor.txt,43405,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui.txt,81971,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_browser.txt,46574,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_compilationchooser.txt,70791,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_compilechain.txt,82305,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_filechooser.txt,62061,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_graphing.txt,84895,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_nmethod.txt,76807,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_nmethod_codecache.txt,77200,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_nmethod_compilerthread.txt,88854,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_parserchooser.txt,27775,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report.txt,94223,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report_cell.txt,53771,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report_eliminatedallocation.txt,31692,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report_inlining.txt,31606,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report_locks.txt,31694,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report_suggestion.txt,4492,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_resize.txt,16975,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_stage.txt,88797,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_stats.txt,74264,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_toplist.txt,80397,
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_triview_source.txt,63057,
