Project,Package,Smell,Description
javaparser,(default package),God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 101
javaparser,(default package),Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MavenWrapperDownloader]; [A; B]; [Ops]; [Y]; [X]; [A]; [A]; [B; c; ConstantA; C; StackOverflowTestCase]; [A]; [A]; [A]; [B]; [A]; [B]; [Issue300]; [Issue300.A]; [Issue300.B]; [B]; [A]; [U9]; [Test1]; [Test1.Test2]; [Test1.Test3]; [Foo]; [ClassA; ClassB]; [b]; [Main]; [a]; [InnerClassFieldContainer; FieldDotExpressions]; [InnerClassFieldContainer.InnerClass]; [InnerClassFieldContainer.InnerInnerClass]; [InnerClassFieldContainer.InnerInnerInnerClass]; [FieldContainer]; [InnerClassContainer]; [InnerClassContainer.InnerClass]; [InnerClassContainer.InnerInnerClass]; [InnerClassContainer.InnerInnerInnerClass]; [PackageDotExpressions]; [FieldContainer]; [InnerClassFieldContainer]; [FieldDotExpressions.InnerClass]; [FieldDotExpressions.InnerInnerClass]; [FieldDotExpressions.InnerInnerInnerClass]; [InnerStaticClassFieldDotExpressions]; [InnerClassDotExpressions]; [InnerClassContainer]; [InnerClassDotExpressions.InnerClass]; [InnerClassDotExpressions.InnerInnerClass]; [InnerClassDotExpressions.InnerInnerInnerClass]; [A]; [A]; [COLOR]; [EnumWithInnerType]; [EnumWithInnerType.EnumInner]; [EnumWithAncestor]; [A]; [B]; [OuterClass]; [Ancestor]; [Ancestor.Iterator]; [Test]; [Test.InnerTest]; [Base]; [Usage; Extends]; [A]; [A]; [DerivedClass]; [DerivedClass.BaseClass]; [BaseClass]; [MyEnum]; [HelloWorld]; [B]; [A]; [Issue2367]; [Trie]; [Trie.Node]; [ConvolutionLayer]; [ConvolutionLayer.Builder]; [Convolution2D]; [B]; [A]; [C; D]; [B]; [B.innerClassInB]; [ObjectContext]; [ComponentBase]; [ObjectContextDecorator]; [X]; [X.A]; [Complex]; [Test]; [Test.InnerClass]. LCC (Lack of Component Cohesion) = 0.91
