Project,Package,Class,Smell,Description,File
jitwatch,org.adoptopenjdk.jitwatch.process.compiler,CompilerGroovy,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; ICompiler,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/compiler/CompilerGroovy.java
jitwatch,org.adoptopenjdk.jitwatch.process.compiler,CompilerJava,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; ICompiler,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/compiler/CompilerJava.java
jitwatch,org.adoptopenjdk.jitwatch.process.compiler,CompilerJavaScript,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; ICompiler,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/compiler/CompilerJavaScript.java
jitwatch,org.adoptopenjdk.jitwatch.process.compiler,CompilerJRuby,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; ICompiler,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/compiler/CompilerJRuby.java
jitwatch,org.adoptopenjdk.jitwatch.process.compiler,CompilerScala,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; ICompiler,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/compiler/CompilerScala.java
jitwatch,org.adoptopenjdk.jitwatch.process.javap,JavapProcess,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/javap/JavapProcess.java
jitwatch,org.adoptopenjdk.jitwatch.process,AbstractProcess,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: CompilerKotlin; CompilerGroovy; CompilerJava; CompilerJavaScript; CompilerJRuby; CompilerScala; JavapProcess; RuntimeJRuby; RuntimeJavaScript; RuntimeJava; RuntimeGroovy; RuntimeKotlin; RuntimeScala,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/AbstractProcess.java
jitwatch,org.adoptopenjdk.jitwatch.process.runtime,RuntimeJRuby,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; IRuntime,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/runtime/RuntimeJRuby.java
jitwatch,org.adoptopenjdk.jitwatch.process.runtime,RuntimeJavaScript,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; IRuntime,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/runtime/RuntimeJavaScript.java
jitwatch,org.adoptopenjdk.jitwatch.process.runtime,RuntimeJava,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; IRuntime,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/runtime/RuntimeJava.java
jitwatch,org.adoptopenjdk.jitwatch.process.runtime,RuntimeGroovy,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; IRuntime,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/runtime/RuntimeGroovy.java
jitwatch,org.adoptopenjdk.jitwatch.process.runtime,IRuntime,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): IExternalProcess,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/runtime/IRuntime.java
jitwatch,org.adoptopenjdk.jitwatch.process.runtime,RuntimeKotlin,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; IRuntime,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/runtime/RuntimeKotlin.java
jitwatch,org.adoptopenjdk.jitwatch.process.runtime,RuntimeKotlin,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LanguageManager; RuntimeKotlin; ResourceLoader,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/runtime/RuntimeKotlin.java
jitwatch,org.adoptopenjdk.jitwatch.process.runtime,RuntimeScala,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractProcess; IRuntime,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/process/runtime/RuntimeScala.java
jitwatch,org.adoptopenjdk.jitwatch.demo,MakeHotSpotLog,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 39 methods,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/demo/MakeHotSpotLog.java
jitwatch,org.adoptopenjdk.jitwatch.inline,HeadlessInlineVisitor.InlineJournalVisitor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: failures; model; callerName,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/inline/HeadlessInlineVisitor.java
jitwatch,org.adoptopenjdk.jitwatch.inline,HeadlessInlineVisitor.InlineJournalVisitor,Multipath Hierarchy,The tool detected the smell in this class because the class inherits another class directly as well as indirectly. The redundant inherited supertype is: ICompilationVisitable,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/inline/HeadlessInlineVisitor.java
jitwatch,org.adoptopenjdk.jitwatch.inline,HeadlessInlineVisitor.InlineFailureInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: memberName; byteCodeSize; failureCount; callers,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/inline/HeadlessInlineVisitor.java
jitwatch,org.adoptopenjdk.jitwatch.inline,HeadlessInlineVisitor.InlineFailureInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/inline/HeadlessInlineVisitor.java
jitwatch,org.adoptopenjdk.jitwatch.chain,CompileChainWalker,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCompilationVisitable,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/chain/CompileChainWalker.java
jitwatch,org.adoptopenjdk.jitwatch.test,AbstractAssemblyTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/test/java/org/adoptopenjdk/jitwatch/test/AbstractAssemblyTest.java
jitwatch,org.adoptopenjdk.jitwatch.test,AbstractAssemblyTest.OperandType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/test/java/org/adoptopenjdk/jitwatch/test/AbstractAssemblyTest.java
jitwatch,org.adoptopenjdk.jitwatch.test,AbstractAssemblyTest.OperandType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/test/java/org/adoptopenjdk/jitwatch/test/AbstractAssemblyTest.java
jitwatch,org.adoptopenjdk.jitwatch.test,UnitTestUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: unhandledTags,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/test/java/org/adoptopenjdk/jitwatch/test/UnitTestUtil.java
jitwatch,org.adoptopenjdk.jitwatch.test,UnitTestLogParser,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractLogParser,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/test/java/org/adoptopenjdk/jitwatch/test/UnitTestLogParser.java
jitwatch,org.adoptopenjdk.jitwatch.test,TestClassWithGenerics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/test/java/org/adoptopenjdk/jitwatch/test/TestMetaClass.java
jitwatch,org.adoptopenjdk.jitwatch.sandbox,Sandbox,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; logListener; sandboxStage; SANDBOX_DIR; SANDBOX_SOURCE_DIR; SANDBOX_CLASS_DIR; PATH_STD_ERR; PATH_STD_OUT; SANDBOX_LOGFILE; sandboxLogFile; logParser; languageManager; lastProcess,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/ui/src/main/java/org/adoptopenjdk/jitwatch/sandbox/Sandbox.java
